Urchin ID,Size(mm),Wet weight(g),Tank #,SetTemp,Temperature(C),State(Barren/Kelp),Trial #,Kelp start weight,Kelp end weight,Time in,Time out,Date in,Date out,Time series
B32,39.4,19.124,8A,21,19.97445,B,3,2.8596,1.5506,12:48,12:39,8/30/22,8/31/22,1
B33,37.9,19.774,7B,12,12.0919919,B,3,2.3087,1.2909,12:49,12:42,8/30/22,8/31/22,1
B34,33.2,15.239,11A,15,15.3949758,B,3,3.1636,1.9099,12:55,12:43,8/30/22,8/31/22,1
B35,41.1,21.314,4A,18,17.6993548,B,3,3.5937,0.9705,12:56,12:45,8/30/22,8/31/22,1
B36,35.5,15.202,12B,21,20.0077917,B,3,2.1922,0.4448,12:57,12:46,8/30/22,8/31/22,1
K25,39,22.11,5B,12,12.5889,K,3,3.3055,1.3468,1:01,12:49,8/30/22,8/31/22,1
K26,40.9,22.92,1A,15,15.3491855,K,3,2.1929,0.7862,1:02,12:50,8/30/22,8/31/22,1
K27,41.6,21.701,6B,18,18.24209,K,3,3.4632,1.4526,1:03,12:51,8/30/22,8/31/22,1
K28,35.5,17.273,10A,21,20.4148,K,3,3.595,2.4281,1:06,12:53,8/30/22,8/31/22,1
K29,38.1,17.273,9A,12,12.42063,K,3,3.4363,2.1591,1:07,12:55,8/30/22,8/31/22,1
K30,39.2,17.927,3B,15,15.63294,K,3,2.8856,1.5377,1:08,12:56,8/30/22,8/31/22,1
K31,43.5,19.711,2A,18,18.1136,K,3,2.3804,0.621,1:12,12:58,8/30/22,8/31/22,1
K32,45,29.808,8B,21,19.9978387,K,3,3.0546,1.7989,1:13,12:59,8/30/22,8/31/22,1
K33,35.3,30.26,7A,12,17.9097016,K,3,2.2503,1.2461,1:14,1:01,8/30/22,8/31/22,1
K34,37.5,15.349,11B,15,15.5225,K,3,2.9761,1.5219,1:18,1:03,8/30/22,8/31/22,1
K35,34,13.878,4B,18,17.9097016,K,3,2.5399,1.2882,1:19,1:04,8/30/22,8/31/22,1
K36,38.8,31.136,12A,21,20.5242742,K,3,3.2225,1.6356,1:20,1:05,8/30/22,8/31/22,1
B37,41.8,23.57,5A,12,12.04814,B,4,6.6859,5.5585,11:32,12:42,9/2/22,9/3/22,1
B38,36.4,20.444,1B,15,15.37031,B,4,2.6585,0.8757,11:33,12:43,9/2/22,9/3/22,1
B39,36.6,15.952,6A,18,18.12798,B,4,2.7836,1.9248,11:34,12:44,9/2/22,9/3/22,1
B40,37.9,21.482,10B,21,20.24805,B,4,3.1877,1.2326,11:39,12:45,9/2/22,9/3/22,1
B41,35.2,17.753,9B,12,12.1237661,B,4,3.5617,2.245,11:40,12:50,9/2/22,9/3/22,1
B42,33.5,14.009,3A,15,15.48797,B,4,4.9515,3.6917,11:41,12:51,9/2/22,9/3/22,1
B43,42,26.205,2B,18,18.31281,B,4,4.6509,2.3758,11:42,12:52,9/2/22,9/3/22,1
B44,32.4,13.486,8A,21,20.14885,B,4,4.5398,3.2827,11:43,12:53,9/2/22,9/3/22,1
B45,36.8,17.152,7B,12,12.1005968,B,4,3.2504,1.7869,11:51,12:58,9/2/22,9/3/22,1
B46(B25),did not measure,did not measure,11A,15,15.4020968,B,4,4.0041,2.4352,11:52,12:59,9/2/22,9/3/22,1
B47(B46),37,19.554,4A,18,17.7540323,B,4,3.6945,2.2413,11:53,1:00,9/2/22,9/3/22,1
B48(B47),32,13.332,12B,21,20.2535806,B,4,2.7276,0.5158,11:54,1:01,9/2/22,9/3/22,1
K37,37.7,21.562,5B,12,12.70214,K,4,3.2545,1.1919,11:55,1:05,9/2/22,9/3/22,1
K38,41.6,23.49,1A,15,15.3134355,K,4,5.8338,3.7918,11:56,1:06,9/2/22,9/3/22,1
K39,37.3,17.309,6B,18,18.21974,K,4,6.9302,4.9348,12:00,1:07,9/2/22,9/3/22,1
K40,41.8,23.926,10A,21,20.21356,K,4,4.9465,2.5757,12:01,1:08,9/2/22,9/3/22,1
K41,40.1,21.267,9A,12,12.51751,K,4,6.6175,5.1043,12:02,1:12,9/2/22,9/3/22,1
K42,31.2,11.838,3B,15,15.70383,K,4,3.4018,2.1935,12:03,1:13,9/2/22,9/3/22,1
K43,41,24.166,2A,18,18.18338,K,4,6.0171,4.2875,12:04,1:14,9/2/22,9/3/22,1
K44,33,13.05,8B,21,20.1143065,K,4,3.9959,2.0672,12:08,1:15,9/2/22,9/3/22,1
K45,35.6,18.13,7A,12,17.8595323,K,4,3.4392,2.1486,12:09,1:19,9/2/22,9/3/22,1
K46,41.4,22.769,11B,15,15.72627,K,4,2.8073,0.318,12:10,1:20,9/2/22,9/3/22,1
K47,30,12.593,4B,18,17.8595323,K,4,3.0331,1.2428,12:11,1:21,9/2/22,9/3/22,1
K48,44,27.123,12A,21,20.3908952,K,4,6.7484,4.2215,12:12,1:22,9/2/22,9/3/22,1
B37,41.8,23.57,5A,12,13.58855,B,5,3.3396,3.6773,4:11,3:49,9/6/22,9/7/22,2
B38,36.4,20.444,1B,15,15.51195,B,5,2.9634,1.3991,4:12,3:50,9/6/22,9/7/22,2
B39,36.6,15.952,6A,18,18.40801,B,5,3.2838,2.2975,4:13,3:51,9/6/22,9/7/22,2
B40,37.9,21.482,10B,21,19.74343,B,5,2.7537,0.6085,4:14,3:52,9/6/22,9/7/22,2
B41,35.2,17.753,9B,12,13.3689843,B,5,3.9432,2.0564,4:20,3:57,9/6/22,9/7/22,2
B42,33.5,14.009,3A,15,15.83688,B,5,3.093,1.7114,4:21,3:58,9/6/22,9/7/22,2
B43,42,26.205,2B,18,18.5827,B,5,3.7726,1.7542,4:22,3:59,9/6/22,9/7/22,2
B44,32.4,13.486,8A,21,19.77184,B,5,3.3351,1.8745,4:23,4:00,9/6/22,9/7/22,2
B45,36.8,17.152,7B,12,13.3653543,B,5,2.7855,1.6661,4:26,4:02,9/6/22,9/7/22,2
B46(B25),did not measure,did not measure,11A,15,15.4832362,B,5,3.2166,2.5163,4:27,4:03,9/6/22,9/7/22,2
B47(B46),37,19.554,4A,18,17.9361024,B,5,2.7833,1.4321,4:28,4:04,9/6/22,9/7/22,2
B48(B47),32,13.332,12B,21,19.4295354,B,5,2.5986,0.6153,4:29,4:05,9/6/22,9/7/22,2
K37,37.7,21.562,5B,12,14.18043,K,5,3.5991,1.636,4:31,4:05,9/6/22,9/7/22,2
K38,41.6,23.49,1A,15,15.6192047,K,5,2.4685,1.0985,4:32,4:06,9/6/22,9/7/22,2
K39,37.3,17.309,6B,18,18.47164,K,5,3.1532,1.46,4:33,4:07,9/6/22,9/7/22,2
